Pcode,ResponseTime,ScheduledTime,Valence,Arousal,Attention,Stress,Duration,Disturbance,Change
P01,1557278986000,1557278760000,-3,3,3,3,5,-1,-3
P01,1557281772000,1557281580000,-3,-2,2,2,15,3,-2
P01,1557298702000,1557298560000,3,3,3,-3,20,2,0
P01,1557301311000,1557301260000,3,3,3,-3,30,1,2
P01,1557371378000,1557371340000,-3,2,2,2,5,2,0
P01,1557379466000,1557379380000,2,3,3,-3,5,0,2
P01,1557382455000,1557382440000,3,3,3,-3,10,-1,3
P01,1557387683000,1557387660000,-3,-1,1,3,5,2,-1
P01,1557450617000,1557450600000,3,1,1,-1,15,-1,1
P01,1557457216000,1557457200000,3,0,0,-1,10,1,0
P01,1557468672000,1557468660000,3,2,0,-1,5,3,-2
P01,1557487678000,1557487620000,0,3,0,0,10,-2,1
P01,1557490161000,1557490140000,3,2,3,-3,30,-3,3
P01,1557546813000,1557546780000,3,0,1,0,20,3,3
P01,1557560713000,1557560460000,3,3,3,1,30,-2,2
P01,1557562994000,1557562980000,3,0,-2,2,15,2,0
P01,1557571376000,1557571260000,3,3,-1,-2,5,-1,1
P01,1557636386000,1557636120000,3,0,0,0,15,-1,1
P01,1557638867000,1557638580000,3,-1,2,-2,5,1,1
P01,1557641469000,1557641400000,2,1,2,1,15,0,0
P01,1557649528000,1557649500000,-1,2,-1,0,5,-1,-1
P01,1557652474000,1557652440000,3,3,2,-3,10,-2,1
P01,1557719303000,1557719160000,3,3,3,-3,15,1,0
P01,1557722480000,1557722280000,3,3,3,1,10,1,2
P01,1557725316000,1557725040000,3,3,-1,-1,20,0,0
P01,1557752173000,1557752160000,3,2,3,-1,15,0,0
P01,1557827829000,1557827640000,3,3,-1,-1,20,-2,0
P01,1557830465000,1557830220000,3,0,1,-1,20,0,0
P01,1557835951000,1557835680000,3,3,1,-1,30,1,1
P02,1557280349000,1557280320000,-1,-1,-1,-2,60,2,-1
P02,1557283094000,1557283080000,0,0,-1,1,30,2,-2
P02,1557286949000,1557286860000,-3,-3,0,3,20,-3,0
P02,1557298705000,1557298560000,-1,0,0,0,20,0,0
P02,1557317719000,1557317640000,-1,-1,0,0,15,-1,-1
P02,1557320305000,1557320220000,-1,1,-1,0,20,-3,1
P02,1557376963000,1557376920000,1,1,0,-1,30,-2,1
P02,1557379646000,1557379620000,1,-1,0,-1,60,1,0
P02,1557382109000,1557382080000,1,-2,0,-1,20,2,0
P02,1557398741000,1557398640000,-1,0,0,0,15,-1,0
P02,1557401210000,1557401100000,-1,0,0,1,20,3,0
P02,1557460647000,1557460380000,-1,-1,1,-1,60,0,0
P02,1557466344000,1557466080000,0,0,0,0,30,0,0
P02,1557484709000,1557484620000,0,-1,-1,-1,20,0,0
P02,1557487573000,1557487560000,3,0,0,0,30,-1,0
P02,1557563304000,1557563280000,0,0,-1,-1,20,0,0
P02,1557571120000,1557571020000,1,0,0,0,20,0,0
P02,1557646894000,1557646800000,-2,-3,2,3,60,0,0
P02,1557649272000,1557649260000,-3,-3,1,3,#N/A,0,0
P02,1557655154000,1557655140000,-2,-2,3,0,60,0,0
P02,1557665788000,1557665760000,1,1,0,0,20,0,0
P02,1557730334000,1557730320000,-2,-2,0,0,20,-1,0
P02,1557733289000,1557733020000,0,0,1,0,60,0,0
P02,1557735777000,1557735660000,-1,0,0,0,20,0,0
P02,1557738495000,1557738480000,-2,0,0,0,15,0,0
P02,1557805570000,1557805560000,-2,-1,0,0,20,-1,0
P02,1557810984000,1557810960000,-2,-1,0,0,30,0,0
P02,1557816393000,1557816360000,-1,-1,0,0,15,1,0
P03,1557281593000,1557281460000,3,-2,-1,-3,60,-2,2
P03,1557287674000,1557287640000,2,2,2,-3,60,1,0
P03,1557290439000,1557290400000,2,-1,2,-3,60,-2,0
P03,1557461022000,1557460740000,3,3,-2,-3,60,-1,2
P03,1557468803000,1557468720000,2,-3,3,-2,60,-2,2
P03,1557471242000,1557471180000,2,-2,-2,-2,60,1,1
P03,1557543984000,1557543960000,0,0,-1,1,5,0,0
P03,1557546807000,1557546780000,2,-3,-2,-2,30,0,0
P03,1557549516000,1557549480000,2,2,-1,0,30,0,1
P03,1557633138000,1557633120000,1,0,1,0,30,0,0
P03,1557638304000,1557638280000,1,0,-1,-1,60,0,0
P03,1557709764000,1557709740000,-1,-1,-2,2,60,1,-1
P03,1557719901000,1557719880000,-3,-2,-2,3,30,0,0
P03,1557722484000,1557722460000,-3,-3,-3,3,60,0,0
P03,1557813862000,1557813840000,0,-1,-1,1,30,1,0
P03,1557816637000,1557816600000,-1,-2,-2,2,60,0,-1
P03,1557819027000,1557819000000,0,-1,-1,2,60,0,0
P04,1557285034000,1557285000000,-1,-2,1,1,30,3,-1
P04,1557287652000,1557287580000,0,1,2,0,30,3,0
P04,1557295753000,1557295680000,0,-3,0,-1,20,-1,1
P04,1557309266000,1557309180000,1,2,2,-1,20,-3,0
P04,1557316837000,1557316680000,0,0,0,0,20,1,0
P04,1557379585000,1557379500000,-1,1,2,1,15,3,0
P04,1557450245000,1557450000000,0,-1,1,-1,30,3,0
P04,1557455921000,1557455880000,-2,0,0,0,30,2,0
P04,1557462847000,1557462600000,0,-1,1,0,#N/A,3,0
P04,1557474284000,1557474240000,0,-1,-2,0,10,0,0
P04,1557476945000,1557476820000,-2,1,1,2,10,3,-1
P04,1557479601000,1557479580000,0,-2,-1,-1,10,0,0
P04,1557644310000,1557644280000,0,-1,-1,0,20,1,0
